tarefa,braco,modelo,replica,ordem,input_tokens,output_tokens,custo_usd,probes,sucesso,duracao_s,observacoes
T1-bugfix,A,Claude Sonnet 5,1,A-B,5299,282,0.013418,1.0,1,5.7,
T1-bugfix,B,Claude Sonnet 5,1,A-B,393,226,0.003046,1.0,1,4.4,
T1-bugfix,A,Claude Fable 5,1,A-B,5299,333,0.06964,1.0,1,9.8,
T1-bugfix,B,Claude Fable 5,1,A-B,393,3,0.0,0.0,0,5.4,empty response
T1-bugfix,B,Claude Fable 5,2,B-A,393,1,0.0,0.0,0,4.4,empty response
T1-bugfix,A,Claude Fable 5,2,B-A,5299,318,0.06889,1.0,1,7.7,
T1-bugfix,A,Claude Fable 5,3,A-B,5299,81,0.05704,0.333,0,6.3,
T1-bugfix,B,Claude Fable 5,3,A-B,393,1,0.0,0.0,0,3.7,empty response
T1-bugfix,A,Claude Opus 4.8,1,A-B,5299,229,0.03222,1.0,1,5.2,
T1-bugfix,B,Claude Opus 4.8,1,A-B,393,224,0.007565,1.0,1,4.4,
T1-bugfix,B,Claude Opus 4.8,2,B-A,393,233,0.00779,1.0,1,3.9,
T1-bugfix,A,Claude Opus 4.8,2,B-A,5299,225,0.03212,1.0,1,5.5,
T1-bugfix,A,Claude Opus 4.8,3,A-B,5299,249,0.03272,1.0,1,4.8,
T1-bugfix,B,Claude Opus 4.8,3,A-B,393,225,0.00759,1.0,1,4.0,
T1-bugfix,A,Claude Sonnet 5,1,A-B,5299,174,0.012338,1.0,1,5.8,
T1-bugfix,B,Claude Sonnet 5,1,A-B,393,225,0.003036,1.0,1,5.0,
T1-bugfix,B,Claude Sonnet 5,2,B-A,393,234,0.003126,1.0,1,4.8,
T1-bugfix,A,Claude Sonnet 5,2,B-A,5299,305,0.013648,1.0,1,5.6,
T1-bugfix,A,Claude Sonnet 5,3,A-B,5299,188,0.012478,1.0,1,4.4,
T1-bugfix,B,Claude Sonnet 5,3,A-B,393,224,0.003026,1.0,1,4.6,
T1-bugfix,A,GPT-5.6 Sol,1,A-B,3518,78,0.024324,1.0,1,2.4,
T1-bugfix,B,GPT-5.6 Sol,1,A-B,245,78,0.003565,1.0,1,2.6,
T1-bugfix,B,GPT-5.6 Sol,2,B-A,245,71,0.003355,1.0,1,2.0,
T1-bugfix,A,GPT-5.6 Sol,2,B-A,3518,72,0.003933,1.0,1,1.9,
T1-bugfix,A,GPT-5.6 Sol,3,A-B,3518,78,0.004112,1.0,1,1.9,
T1-bugfix,B,GPT-5.6 Sol,3,A-B,245,78,0.003565,1.0,1,2.1,
T1-bugfix,A,GLM-5.2,1,A-B,3584,508,0.004857,1.0,1,11.2,
T1-bugfix,B,GLM-5.2,1,A-B,274,240,0.001344,1.0,1,27.7,
T1-bugfix,B,GLM-5.2,2,B-A,274,452,0.001317,1.0,1,8.9,
T1-bugfix,A,GLM-5.2,2,B-A,3584,387,0.00672,1.0,1,4.9,
T1-bugfix,A,GLM-5.2,3,A-B,3584,201,0.005489,1.0,1,9.1,
T1-bugfix,B,GLM-5.2,3,A-B,274,204,0.000637,1.0,1,4.4,
T1-bugfix,A,Grok 4.5,1,A-B,3665,473,0.009976,1.0,1,3.1,
T1-bugfix,B,Grok 4.5,1,A-B,466,563,0.00431,1.0,1,4.5,
T1-bugfix,B,Grok 4.5,2,B-A,466,457,0.003482,1.0,1,3.5,
T1-bugfix,A,Grok 4.5,2,B-A,3665,529,0.005128,1.0,1,4.0,
T1-bugfix,A,Grok 4.5,3,A-B,3665,622,0.005686,1.0,1,4.8,
T1-bugfix,B,Grok 4.5,3,A-B,466,455,0.003086,1.0,1,4.8,
T1-bugfix,A,Gemini 3.5 Flash,1,A-B,4159,133,0.007436,1.0,1,2.6,
T1-bugfix,B,Gemini 3.5 Flash,1,A-B,283,120,0.001504,1.0,1,2.3,
T1-bugfix,B,Gemini 3.5 Flash,2,B-A,283,120,0.001504,1.0,1,2.3,
T1-bugfix,A,Gemini 3.5 Flash,2,B-A,4159,133,0.00195,1.0,1,2.6,
T1-bugfix,A,Gemini 3.5 Flash,3,A-B,4159,133,0.007436,1.0,1,2.6,
T1-bugfix,B,Gemini 3.5 Flash,3,A-B,283,120,0.001504,1.0,1,2.3,
T2-refactor,A,Claude Fable 5,1,A-B,6641,170,0.07491,1.0,1,6.1,
T2-refactor,B,Claude Fable 5,1,A-B,337,138,0.01027,1.0,1,6.0,
T2-refactor,B,Claude Fable 5,2,B-A,337,142,0.01047,1.0,1,7.4,
T2-refactor,A,Claude Fable 5,2,B-A,6641,171,0.07496,1.0,1,7.5,
T2-refactor,A,Claude Fable 5,3,A-B,6641,146,0.07371,1.0,1,5.7,
T2-refactor,B,Claude Fable 5,3,A-B,337,140,0.01037,1.0,1,5.4,
T2-refactor,A,Claude Opus 4.8,1,A-B,6641,109,0.03593,1.0,1,4.9,
T2-refactor,B,Claude Opus 4.8,1,A-B,337,139,0.00516,1.0,1,2.5,
T2-refactor,B,Claude Opus 4.8,2,B-A,337,139,0.00516,1.0,1,3.9,
T2-refactor,A,Claude Opus 4.8,2,B-A,6641,109,0.03593,1.0,1,2.7,
T2-refactor,A,Claude Opus 4.8,3,A-B,6641,111,0.03598,1.0,1,2.6,
T2-refactor,B,Claude Opus 4.8,3,A-B,337,166,0.005835,1.0,1,3.0,
T2-refactor,A,Claude Sonnet 5,1,A-B,6641,208,0.015362,1.0,1,5.3,
T2-refactor,B,Claude Sonnet 5,1,A-B,337,143,0.002104,1.0,1,3.6,
T2-refactor,B,Claude Sonnet 5,2,B-A,337,103,0.001704,1.0,1,3.9,
T2-refactor,A,Claude Sonnet 5,2,B-A,6641,262,0.015902,1.0,1,5.1,
T2-refactor,A,Claude Sonnet 5,3,A-B,6641,185,0.015132,1.0,1,4.1,
T2-refactor,B,Claude Sonnet 5,3,A-B,337,137,0.002044,1.0,1,3.6,
T2-refactor,A,GPT-5.6 Sol,1,A-B,4399,60,0.02929,1.0,1,1.6,
T2-refactor,B,GPT-5.6 Sol,1,A-B,224,61,0.00295,1.0,1,3.2,
T2-refactor,B,GPT-5.6 Sol,2,B-A,224,60,0.00292,1.0,1,1.5,
T2-refactor,A,GPT-5.6 Sol,2,B-A,4399,60,0.004013,1.0,1,1.5,
T2-refactor,A,GPT-5.6 Sol,3,A-B,4399,59,0.003983,1.0,1,1.8,
T2-refactor,B,GPT-5.6 Sol,3,A-B,224,60,0.00292,1.0,1,1.5,
T2-refactor,A,GLM-5.2,1,A-B,4501,274,0.006629,1.0,1,7.6,
T2-refactor,B,GLM-5.2,1,A-B,234,395,0.00144,1.0,1,4.6,
T2-refactor,B,GLM-5.2,2,B-A,234,395,0.001984,1.0,1,3.1,
T2-refactor,A,GLM-5.2,2,B-A,4501,243,0.006398,1.0,1,4.3,
T2-refactor,A,GLM-5.2,3,A-B,4501,231,0.006806,1.0,1,9.0,
T2-refactor,B,GLM-5.2,3,A-B,234,133,0.000639,1.0,1,9.9,
T2-refactor,A,Grok 4.5,1,A-B,4567,200,0.010142,1.0,1,3.8,
T2-refactor,B,Grok 4.5,1,A-B,418,238,0.002072,1.0,1,2.2,
T2-refactor,B,Grok 4.5,2,B-A,418,238,0.001688,1.0,1,2.1,
T2-refactor,A,Grok 4.5,2,B-A,4567,218,0.003722,1.0,1,1.7,
T2-refactor,A,Grok 4.5,3,A-B,4567,222,0.003746,1.0,1,4.2,
T2-refactor,B,Grok 4.5,3,A-B,418,238,0.001688,1.0,1,2.7,
T2-refactor,A,Gemini 3.5 Flash,1,A-B,5147,114,0.008747,1.0,1,2.7,
T2-refactor,B,Gemini 3.5 Flash,1,A-B,247,105,0.001316,1.0,1,2.2,
T2-refactor,B,Gemini 3.5 Flash,2,B-A,247,107,0.001334,1.0,1,2.0,
T2-refactor,A,Gemini 3.5 Flash,2,B-A,5147,118,0.008783,1.0,1,2.4,
T2-refactor,A,Gemini 3.5 Flash,3,A-B,5147,114,0.003253,1.0,1,2.5,
T2-refactor,B,Gemini 3.5 Flash,3,A-B,247,105,0.001316,1.0,1,2.2,
T3-feature,A,Claude Fable 5,1,A-B,15133,264,0.16453,1.0,1,10.6,
T3-feature,B,Claude Fable 5,1,A-B,307,192,0.01267,1.0,1,6.0,
T3-feature,B,Claude Fable 5,2,B-A,307,184,0.01227,1.0,1,5.6,
T3-feature,A,Claude Fable 5,2,B-A,15133,361,0.16938,1.0,1,10.7,
T3-feature,A,Claude Fable 5,3,A-B,15133,383,0.17048,1.0,1,8.6,
T3-feature,B,Claude Fable 5,3,A-B,307,180,0.01207,1.0,1,5.3,
T3-feature,A,Claude Opus 4.8,1,A-B,15133,291,0.08294,1.0,1,5.1,
T3-feature,B,Claude Opus 4.8,1,A-B,307,134,0.004885,1.0,1,2.5,
T3-feature,B,Claude Opus 4.8,2,B-A,307,140,0.005035,1.0,1,2.7,
T3-feature,A,Claude Opus 4.8,2,B-A,15133,247,0.08184,1.0,1,4.5,
T3-feature,A,Claude Opus 4.8,3,A-B,15133,208,0.080865,1.0,1,4.4,
T3-feature,B,Claude Opus 4.8,3,A-B,307,140,0.005035,1.0,1,3.3,
T3-feature,A,Claude Sonnet 5,1,A-B,15133,255,0.032816,1.0,1,5.5,
T3-feature,B,Claude Sonnet 5,1,A-B,307,148,0.002094,1.0,1,9.4,
T3-feature,B,Claude Sonnet 5,2,B-A,307,131,0.001924,1.0,1,3.4,
T3-feature,A,Claude Sonnet 5,2,B-A,15133,319,0.033456,1.0,1,5.9,
T3-feature,A,Claude Sonnet 5,3,A-B,15133,220,0.032466,1.0,1,5.2,
T3-feature,B,Claude Sonnet 5,3,A-B,307,139,0.002004,1.0,1,3.9,
T3-feature,A,GPT-5.6 Sol,1,A-B,10182,83,0.066124,1.0,1,1.8,
T3-feature,B,GPT-5.6 Sol,1,A-B,182,80,0.00331,1.0,1,1.8,
T3-feature,B,GPT-5.6 Sol,2,B-A,182,80,0.00331,1.0,1,1.6,
T3-feature,A,GPT-5.6 Sol,2,B-A,10182,85,0.007654,1.0,1,2.5,
T3-feature,A,GPT-5.6 Sol,3,A-B,10182,85,0.007654,1.0,1,2.9,
T3-feature,B,GPT-5.6 Sol,3,A-B,182,75,0.00316,1.0,1,2.3,
T3-feature,A,GLM-5.2,1,A-B,10220,289,0.01558,1.0,1,7.6,
T3-feature,B,GLM-5.2,1,A-B,194,195,0.001051,1.0,1,5.3,
T3-feature,B,GLM-5.2,2,B-A,194,163,0.000989,1.0,1,1.4,
T3-feature,A,GLM-5.2,2,B-A,10220,274,0.015441,1.0,1,3.1,
T3-feature,A,GLM-5.2,3,A-B,10220,282,0.003948,1.0,1,2.8,
T3-feature,B,GLM-5.2,3,A-B,194,164,0.000894,1.0,1,4.6,
T3-feature,A,Grok 4.5,1,A-B,10389,365,0.022776,1.0,1,2.9,
T3-feature,B,Grok 4.5,1,A-B,389,269,0.0022,1.0,1,2.2,
T3-feature,B,Grok 4.5,2,B-A,389,261,0.001768,1.0,1,1.9,
T3-feature,A,Grok 4.5,2,B-A,10389,297,0.007008,1.0,1,2.3,
T3-feature,A,Grok 4.5,3,A-B,10389,310,0.007086,1.0,1,2.7,
T3-feature,B,Grok 4.5,3,A-B,389,268,0.00181,1.0,1,2.2,
T3-feature,A,Gemini 3.5 Flash,1,A-B,12447,149,0.020012,1.0,1,2.6,
T3-feature,B,Gemini 3.5 Flash,1,A-B,215,138,0.001564,1.0,1,2.3,
T3-feature,B,Gemini 3.5 Flash,2,B-A,215,138,0.001564,1.0,1,2.2,
T3-feature,A,Gemini 3.5 Flash,2,B-A,12447,146,0.019984,1.0,1,2.8,
T3-feature,A,Gemini 3.5 Flash,3,A-B,12447,149,0.003467,1.0,1,2.6,
T3-feature,B,Gemini 3.5 Flash,3,A-B,215,138,0.001564,1.0,1,2.2,
